client_hash_id,content_hash_id,position_bucket,march_impressions,march_clicks,march_ctr,march_avg_position,observed_days,benchmark_ctr,ctr_gap,action_score,reason_code,action_label
client_73cda7b4e4f265ea,content_e9f2d0579387d3c3,4-10,73503.0,66.0,0.0008979225337741317,5.452586040717042,31,0.0030168330991795296,0.0021189105654053977,155.74628328899294,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_132dcd40faff1dc2,4-10,83651.0,97.0,0.0011595796822512583,4.753431242006207,31,0.0030168330991795296,0.0018572534169282713,155.36110557946682,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_20259bd6705d81d4,content_0adb360f9005b515,4-10,73165.0,68.0,0.0009294061368140505,9.954726876914943,31,0.0030168330991795296,0.0020874269623654793,152.72659370147028,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_895d440b9d28c9e1,4-10,74063.0,71.0,0.0009586433171759178,5.569462258620714,31,0.0030168330991795296,0.002058189782003612,152.4357098245335,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_1bb7d17cac7f6b78,4-10,55406.0,20.0,0.000360971735913078,5.3590091913886155,31,0.0030168330991795296,0.0026558613632664515,147.150654693141,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_9b650e36b3f48153,4-10,65165.0,50.0,0.0007672830507174097,5.928872731339316,31,0.0030168330991795296,0.00224955004846212,146.59192890803405,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_37a6fac676c8cebb,4-10,48049.0,4.0,8.324835064205291e-05,4.406859487829466,31,0.0030168330991795296,0.0029335847485374767,140.95581358247722,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_bb2a9972810ddd72,4-10,53805.0,22.0,0.0004088839327200074,4.456736331082963,31,0.0030168330991795296,0.0026079491664595224,140.32070490135462,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_3be053e63ab11ad4,4-10,64519.0,55.0,0.000852462065438088,6.37674655082777,31,0.0030168330991795296,0.0021643710337414415,139.64305472596408,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_beca9fe60e659478,4-10,63497.0,52.0,0.0008189363277005213,4.9032402386032015,31,0.0030168330991795296,0.0021978967714790082,139.55985129860258,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_95ff62babbfac9c7,4-10,122857.0,234.0,0.0019046533775039273,4.529104398226993,31,0.0030168330991795296,0.0011121797216756023,136.63906406589948,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_20259bd6705d81d4,content_653bbcddf2314227,11-20,51183.0,20.0,0.0003907547427856906,18.368757915666723,31,0.003052402152841725,0.0026616474100560343,136.231099388898,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_2aac65d27ccd9f91,4-10,54882.0,30.0,0.0005466273095003826,4.2523231373034704,31,0.0030168330991795296,0.002470205789679147,135.56983414917096,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_23a62021009f63c4,content_bf078007df823490,4-10,44707.0,0.0,0.0,7.906249354361949,20,0.0030168330991795296,0.0030168330991795296,134.87355736501922,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_e547b89c05043229,content_f57f0a707cf46a0a,4-10,46781.0,9.0,0.00019238579765289328,6.8035852395974565,29,0.0030168330991795296,0.0028244473015266365,132.13046921271757,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_65de48885f4ef01b,content_62673eea26c31c17,4-10,57720.0,43.0,0.000744975744975745,6.840768436837051,31,0.0030168330991795296,0.0022718573542037847,131.13160648464245,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_cf651123f1085418,4-10,101363.0,175.0,0.0017264682379171887,6.318623593931002,31,0.0030168330991795296,0.001290364861262341,130.79525343213467,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_e547b89c05043229,content_cf2264753938463b,4-10,46938.0,11.0,0.0002343516979845754,4.111066246640808,29,0.0030168330991795296,0.0027824814011949543,130.60411200928877,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_2e021ead8d8c7cf6,4-10,49157.0,19.0,0.0003865166710743129,8.018575747672466,31,0.0030168330991795296,0.002630316428105217,129.29846465636814,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_23a62021009f63c4,content_a7cc2daa02c2d84a,11-20,43745.0,9.0,0.00020573779860555492,19.87588872765483,31,0.003052402152841725,0.00284666435423617,124.52733217606125,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_1a730cb2640a1abf,content_39e19a3ec2d95f9d,4-10,42185.0,4.0,9.482043380348465e-05,9.09997211353957,30,0.0030168330991795296,0.002922012665376045,123.26510428888845,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_98b32c5435308a53,4-10,46724.0,19.0,0.00040664326684359213,4.9156474228058755,31,0.0030168330991795296,0.0026101898323359373,121.95850972606434,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_d30a67f972196ca1,4-10,46810.0,20.0,0.0004272591326639607,5.615195559000052,31,0.0030168330991795296,0.002589573966515569,121.21795737259379,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_300fd9ae188edb1d,4-10,50634.0,32.0,0.0006319864122921357,4.5560350176122215,31,0.0030168330991795296,0.0023848466868873937,120.75432714385629,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_6c1d7f4abcac1368,4-10,63517.0,72.0,0.001133554796353732,4.579338687931612,31,0.0030168330991795296,0.0018832783028257976,119.62018796058618,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_e547b89c05043229,content_21309e9a83c83653,4-10,103187.0,192.0,0.0018606995067208078,4.972998238614168,29,0.0030168330991795296,0.0011561335924587218,119.29795700503813,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_73cda7b4e4f265ea,content_42fc517fdad17091,4-10,53634.0,43.0,0.0008017302457396428,4.852759459229509,31,0.0030168330991795296,0.002215102853439887,118.8048264413949,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
client_62f4a7e64f5e0096,content_0c5606abaaab3178,4-10,38865.0,0.0,0.0,5.6947643638097984,31,0.0030168330991795296,0.0030168330991795296,117.24921839961242,STRIKING_DISTANCE_CTR_GAP,REVIEW_CTR_OPPORTUNITY
